user_id,most_search,category
99992702,our beloved summer,Romance
99986498,học viện anh hùng (phần 4),Drama
99978675,pháp y thần minh,Action
99978165,siêu đại chiến,Action
99971508,chú thuật hồi chiến,Drama
99967600,đao kiếm thần vực (phần 4),Fantasy
99959760,sương lạnh chiều đông,Romance
99952171,CHUC KHANH HAO,Other
99950708,chú thuật hồi chiến,Drama
99934049,U19 Việt Nam 0-0 U19 Indonesia,Sports
99932711,sự trỗi dậy của khiên hiệp sĩ (phần 2),Drama
99927386,thanh xuân tu tảo vi,Animation
99925741,anna,Music
99925110,hoạt sắc sinh hương,Other
99911894,nguoi tinh anh trang,Romance
99909931,minh tinh đại trinh thám,Action
99908380,ca nhạc,Music
99901999,một vòng trái đất,Documentary
99898384,hạnh phúc đến vạn gia (the story of xing fu),Drama
99897989,chị đã thành công thu hút sự chú ý của tôi,Reality Show
99894128,saijaku muhai no bahamut,Animation
99891590,chuyện kinh dị lúc nửa đêm,Horror
99891157,Liên Minh Công Lý: Phiên bản của Zack Snyder,Action
99889398,bolero,Music
99886033,pháp y tần minh: người đọc tâm,Drama
99884790,hoàng hôn màu tím,Romance
99876086,lucy,Horror
99862582,trần thiên thiên,C Drama
99858417,Conan,Action
99853345,overlord iii,Animation
99850756,42,Other
99850690,ngước mắt nhìn đời phú lê,Drama
99839542,chú thỏ con,Comedy
99837025,sát thủ nhân tạo,Action
99826419,hậu duệ mặt trời,Romance
99826375,truy tìm kẻ sát nhân,Crime
99826262,kang ha n,K Drama
99823837,ngio long,Animation
99816861,voice 4,Music
99814285,tiệm cà phê mĩ nam,Reality Show
99809685,điện hạ,Drama
99806834,brightnoraphatt,Other
99801549,một con vịt,Comedy
99796494,20th Century Boy and Girl,Romance
99787864,hương mật tựa khói sương,Drama
99786338,THE FLASH,Action
99786101,mẹ ma,Drama
99784349,boruto,Animation
99780854,cửa hàng tiệm lợi  seat byul,Other
99771893,tiểu nữ nghê thường,Romance
99769488,cuộc chiến tình yêu,Romance
99742451,why her?,Romance
99742175,tên tôi là busaba,Drama
99741462,vẻ đẹp đích thực,Reality Show
99735059,lhim chàng hậu,Other
99725900,bảo tố cuộc đời,Drama
99723707,thiên nga bóng đêm,Horror
99723525,ghost doctor,Drama
99723002,hoắc nguyên giáp,Action
99720703,xuân hoa thu nguyệt,Music
99718983,tuyển tập: ngôi làng kỳ lạ,Drama
99714668,fifa rock mixi,Sports
99707423,mặt nạ thủy tinh,Horror
99705750,bầu trời rực đỏ,Action
99699331,cuộc chiến hậu cung,Romance
99675723,phantom w,Animation
99664443,tan bang phong than,Drama
99661547,báo thù,Action
99660690,be mbitious,Other
99659954,TOKY,Music
99658584,black clover,Animation
99655251,cuộc chiến thượng lưu,Romance
99645329,xxx,Horror
99642790,CHUYEN S,Sports
99642777,co day bi cao,Drama
99637591,masamune báo thù,Action
99628338,trước khi yêu đương yêu phải em,Romance
99621422,vẻ đẹp tâm hồn,Drama
99620057,ghibli,Animation
99619615,học viện anh hùng (phần 3),C Drama
99616384,minions,Animation
99606367,minh lan truyện,Romance
99604405,diên hy,Drama
99598349,bạch xà vương phi,C Drama
99597974,tội phạm,Horror
99593997,spy x family,Action
99592568,bi sn giat gan,Comedy
99584682,được gặp em tại ngục tối,Other
99576464,quãng thời gian dài,Romance
99566070,quý ông hoàn hảo và cô nàng tạm được,Comedy
99565094,con cào cào,Animation
99560603,như ý phương phi,Romance
99552491,kiss,Romance
99552035,dragon ball super,Action
99549451,em là thành trì doanh lũy của anh,Drama
99540629,mr. queen,C Drama
99532001,dr. stone (season 2),Animation
99525874,cô nàng trong trắng oh woo ri,Romance
99523810,thanh xa,Horror
99518821,nàng bạch tuyết và bảy chú lùn,Fantasy
99515722,cặp đôi trái ngược,Romance
99514895,thiên nga bóng đêm,Drama
99511363,những đứa trẻ to xác 2,Animation
99509238,thanh xuân vật vã,Comedy
99501581,ave,Music
99488300,sakura,Drama
99486867,nàng bạch tuyết và bảy chú lùn,Fantasy
